Year,Region,Variable,Value,Unit
2005,Ontario,Biomass / Geothermal,0.8075286,TWh
2005,Ontario,Coal & Coke,28.73408,TWh
2005,Ontario,Hydro / Wave / Tidal,35.48,TWh
2005,Ontario,Natural Gas,13.28259,TWh
2005,Ontario,Oil,0.309945,TWh
2005,Ontario,Solar,0,TWh
2005,Ontario,Uranium,77.969,TWh
2005,Ontario,Wind,0.026,TWh
2010,Ontario,Biomass / Geothermal,0.7350962,TWh
2010,Ontario,Coal & Coke,10.33662,TWh
2010,Ontario,Hydro / Wave / Tidal,32.555,TWh
2010,Ontario,Natural Gas,16.88554,TWh
2010,Ontario,Oil,0.0734706,TWh
2010,Ontario,Solar,0.123,TWh
2010,Ontario,Uranium,81.975,TWh
2010,Ontario,Wind,2.8,TWh
2015,Ontario,Biomass / Geothermal,0.9371139,TWh
2015,Ontario,Coal & Coke,0,TWh
2015,Ontario,Hydro / Wave / Tidal,35.04289,TWh
2015,Ontario,Natural Gas,16.21848,TWh
2015,Ontario,Oil,0.6574826,TWh
2015,Ontario,Solar,1.425,TWh
2015,Ontario,Uranium,91.76898,TWh
2015,Ontario,Wind,11.396,TWh
2020,Ontario,Biomass / Geothermal,1.1,TWh
2020,Ontario,Hydro / Wave / Tidal,39.00497588,TWh
2020,Ontario,Natural Gas,11.03935575,TWh
2020,Ontario,Oil,0.08507274,TWh
2020,Ontario,Solar,5.636199608,TWh
2020,Ontario,Uranium,87.84532544,TWh
2020,Ontario,Wind,13.16879678,TWh
2021,Ontario,Biomass / Geothermal,1.194880925,TWh
2021,Ontario,Hydro / Wave / Tidal,35.23273945,TWh
2021,Ontario,Natural Gas,11.38608939,TWh
2021,Ontario,Oil,0.0933597,TWh
2021,Ontario,Solar,5.726055442,TWh
2021,Ontario,Uranium,82.28138901,TWh
2021,Ontario,Wind,12.41957521,TWh
